No.,ID Articulo,Codigo Fabricante,Nombre del Articulo,MEDIDAS ,Categoría,Proveedor,Ubicación,Teléfono,Contacto, Precio Compra Sin  IVA, IVA,Precio de Compra Con IVA (Neto),% a Ganar,Utilidad,Es compra Interna?,"Open Pay
(2.99% + 2.5)","IVA 
Open Pay",Comisión Tienda Nube,Total Comisiones,% Descuento En Pago Con Transferencia,Precio de Venta con IVA,,IVA a Desglozar,Precio de Vta. Sin IVA,Ganancia Real,,,,,,,,,Calcula ID,,,,,,,,,
0001,OL-DUR-DUL-0001,OL-DUR-DUL-0001,DURAZNO PRENSADO DE 1 KG. ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 139 , $ 26.40 , $ 165 ,45.00%, $ 74.25 ,, $ 7.29 , $ 1.17 , $ 7.55 , $ 16.00 ,3.14%,$255,,$35.21,$220,$81,,,,,,,,,OL,DUR,DUL,-,0001,,0,0,0,1
0002,OL-DUR-DUL-0002,OL-DUR-DUL-0002,DURAZNO PRENSADO DE 500 GR,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 84 , $ 16.00 , $ 100.00 ,45.00%, $ 45.00 ,, $ 5.40 , $ 0.86 , $ 5.63 , $ 11.89 ,3.79%,$157,,$21.64,$135,$51,,,,,,,,,OL,DUR,DUL,-,0002,,0,0,0,2
0003,OL-DUR-DUL-0003,OL-DUR-DUL-0003,DURAZNO PRENSADO DE 150 GRS ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 29 , $ 5.60 , $ 35.00 ,45.00%, $ 15.75 ,, $ 3.52 , $ 0.56 , $ 3.70 , $ 7.77 ,6.64%,$59,,$8.07,$50,$21,,,,,,,,,OL,DUR,DUL,-,0003,,0,0,0,3
0004,OL-PER-DUL-0004,OL-PER-DUL-0004,PERA PRENSADA DE 500 GR,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 80 , $ 15.20 , $ 95.00 ,45.00%, $ 42.75 ,, $ 5.26 , $ 0.84 , $ 5.48 , $ 11.57 ,3.88%,$149,,$20.60,$129,$49,,,,,,,,,OL,PER,DUL,-,0004,,0,0,0,4
0005,OL-DUR-DUL-0005,OL-DUR-DUL-0005,DURAZNO PRENSADO DE 150 GR CAJITA PET ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,DUR,DUL,-,0005,,0,0,0,5
0006,OL-PER-DUL-0006,OL-PER-DUL-0006,PERA PRENSADA DE 150 GR BOLSA,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ -   , $ -  .00 , $ -   ,0.00%, $ -   ,, $ 2.50 , $ 0.40 , $ 2.66 , $ 5.56 ,50.00%,$6,,$0.77,$5,$5,,,,,,,,,OL,PER,DUL,-,0006,,0,0,0,6
0007,OL-HIG-DUL-0007,OL-HIG-DUL-0007,HIGO PRENSADO 500 GR,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 84 , $ 16.00 , $ 100.00 ,45.00%, $ 45.00 ,, $ 5.40 , $ 0.86 , $ 5.63 , $ 11.89 ,3.79%,$157,,$21.64,$135,$51,,,,,,,,,OL,HIG,DUL,-,0007,,0,0,0,7
0008,OL-BOC-DUL-0008,OL-BOC-DUL-0008,BOCADILLO DE CHOCOLATE CON HIGO Y DURAZNO DE 100G ,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 42 , $ 8.00 , $ 50.00 ,45.00%, $ 22.50 ,, $ 3.95 , $ 0.63 , $ 4.14 , $ 8.72 ,5.37%,$81,,$11.20,$70,$28,,,,,,,,,OL,BOC,DUL,-,0008,,0,0,0,8
0009,OL-BOC-DUL-0009,OL-BOC-DUL-0009,BOCADILLO DE CHOCOLATE CON HIGO Y DURAZNO DE 500G,,DULCES TIPICOS Y ALIMENTOS,El Huerto,UCAREO,4434101030,Yadira Mendoza Soto, $ 176 , $ 33.60 , $ 210.00 ,45.00%, $ 94.50 ,, $ 8.59 , $ 1.37 , $ 8.89 , $ 18.85 ,2.92%,$323,,$44.60,$279,$102,,,,,,,,,OL,BOC,DUL,-,0009,,0,0,0,9
,,,Charola Redonda de 1200gr surtida de prensado,,,,,,, $ 176 , $ 33.60 , $ 210.00 ,45.00%, $ 94.50 ,, $ 8.59 , $ 1.37 , $ 8.89 , $ 18.85 ,2.92%,$323,,$44.60,$279,$102,,,,,,,,,,,,,,,,,,
