sku,nombre,precio,costo,categoria,mpn,proveedor,ubicacion,ancho_cm,alto_cm,proveedor_contacto,proveedor_telefono,id_articulo_original,calcula_id_original,numero_control_excel,precio_compra_con_iva,iva_compra,porcentaje_a_ganar,utilidad_excel,es_compra_interna,openpay_comision,openpay_iva,comision_tienda_nube,total_comisiones,descuento_pago_transferencia_pct,iva_venta_desglosar,precio_venta_sin_iva,ganancia_real_excel
OL-DUR-DUL-0001,DURAZNO PRENSADO DE 1 KG.,255,139,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0001,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0001,165,26.4,45,74.25,,7.29,1.17,7.55,16,3.14,35.21,220,81
OL-DUR-DUL-0002,DURAZNO PRENSADO DE 500 GR,157,84,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0002,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0002,100,16,45,45,,5.4,0.86,5.63,11.89,3.79,21.64,135,51
OL-DUR-DUL-0003,DURAZNO PRENSADO DE 150 GRS,59,29,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0003,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0003,35,5.6,45,15.75,,3.52,0.56,3.7,7.77,6.64,8.07,50,21
OL-PER-DUL-0004,PERA PRENSADA DE 500 GR,149,80,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0004,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0004,95,15.2,45,42.75,,5.26,0.84,5.48,11.57,3.88,20.6,129,49
OL-DUR-DUL-0005,DURAZNO PRENSADO DE 150 GR CAJITA PET,6,,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0005,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0005,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-PER-DUL-0006,PERA PRENSADA DE 150 GR BOLSA,6,,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0006,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0006,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-HIG-DUL-0007,HIGO PRENSADO 500 GR,157,84,DULCES TIPICOS Y ALIMENTOS,OL-HIG-DUL-0007,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0007,100,16,45,45,,5.4,0.86,5.63,11.89,3.79,21.64,135,51
OL-BOC-DUL-0008,BOCADILLO DE CHOCOLATE CON HIGO Y DURAZNO DE 100G,81,42,DULCES TIPICOS Y ALIMENTOS,OL-BOC-DUL-0008,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0008,50,8,45,22.5,,3.95,0.63,4.14,8.72,5.37,11.2,70,28
OL-BOC-DUL-0009,BOCADILLO DE CHOCOLATE CON HIGO Y DURAZNO DE 500G,323,176,DULCES TIPICOS Y ALIMENTOS,OL-BOC-DUL-0009,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0009,210,33.6,45,94.5,,8.59,1.37,8.89,18.85,2.92,44.6,279,102
SINCODIGO-0010,Charola Redonda de 1200gr surtida de prensado,323,176,,,,,,,,,,,,210,33.6,45,94.5,,8.59,1.37,8.89,18.85,2.92,44.6,279,102
SINCODIGO-0011,Charola Redonda de 600gr surtida de prensado,157,84,,,,,,,,,,,,100,16,45,45,,5.4,0.86,5.63,11.89,3.79,21.64,135,51
SINCODIGO-0012,Charola 2 divisiones de 200 gr de prensado,74,38,,,,,,,,,,,,45,7.2,45,20.25,,3.81,0.61,3.99,8.41,5.71,10.16,63,26
SINCODIGO-0013,Charola cuadrada de 500gr 4 divisiones surtido,157,84,,,,,,,,,,,,100,16,45,45,,5.4,0.86,5.63,11.89,3.79,21.64,135,51
OL-DUR-DUL-0010,DURAZNO PRENSADO CON CHAMOY DE 1KG,263,143,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0010,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0010,170,27.2,45,76.5,,7.43,1.19,7.7,16.32,3.1,36.25,227,84
OL-DUR-DUL-0011,DURAZNO PRENSADO C/ CHAMOY DE 500GR,164,88,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0011,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0011,105,16.8,45,47.25,,5.55,0.89,5.77,12.21,3.71,22.68,142,54
OL-DUR-DUL-0012,DURAZNO PRENSADO C/CHAMOY DE 150 GR BOLSA,66,34,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0012,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0012,40,6.4,45,18,,3.66,0.59,3.84,8.09,6.12,9.12,57,23
OL-MIX-DUL-0013,MIX CHAMOY 150gr,66,34,DULCES TIPICOS Y ALIMENTOS,OL-MIX-DUL-0013,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0013,40,6.4,45,18,,3.66,0.59,3.84,8.09,6.12,9.12,57,23
SINCODIGO-0018,Manzana Prensada con chamoy 150gr,66,34,,,,,,,,,,,,40,6.4,45,18,,3.66,0.59,3.84,8.09,6.12,9.12,57,23
SINCODIGO-0019,Manzana Prensada con chamoy 500gr,59,29,,,,,,,,,,,,35,5.6,45,15.75,,3.52,0.56,3.7,7.77,6.64,8.07,50,21
SINCODIGO-0020,Pera Prensada con chamoy de 500 gr,157,84,,,,,,,,,,,,100,16,45,45,,5.4,0.86,5.63,11.89,3.79,21.64,135,51
OL-PER-DUL-0014,PERA PRENSADA CON CHAMOY DE 150GR BOLSA,59,29,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0014,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0014,35,5.6,45,15.75,,3.52,0.56,3.7,7.77,6.64,8.07,50,21
OL-DUR-DUL-0015,DURAZNO PRENSADO CON CHILE DE 150 GRS,6,,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0015,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0015,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-PER-DUL-0016,PERA PRENSADA CON CHILE DE 150 GRS,6,,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0016,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0016,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-MIX-DUL-0017,MIX FRUTA PRENSADA CHILE DE 150 GR,42,29,DULCES TIPICOS Y ALIMENTOS,OL-MIX-DUL-0017,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0017,35,5.6,0,,,3.52,0.56,3.38,7.46,8.78,5.86,37,7
OL-DUR-DUL-0018,DURAZNO EN ALMIBAR DE 4 KG.,6,,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0018,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0018,,0,0,,,2.5,0.4,2.66,5.56,50,0.77,5,5
OL-DUR-DUL-0019,DURAZNO EN ALMIBAR DE 2 KG.,384,210,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0019,El Huerto,UCAREO,,,Yadira Mendoza Soto,4434101030,,OL,0019,250,40,45,112.5,,9.75,1.56,10.08,21.39,2.79,52.95,331,121
