sku,nombre,precio,costo,categoria,mpn,proveedor,ubicacion,ancho_cm,alto_cm,detalles
OL-DUR-DUL-0001,DURAZNO PRENSADO DE 1 KG.,255,139,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0001,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0001"",""precio_compra_con_iva"":165,""iva_compra"":26.4,""porcentaje_a_ganar"":45,""utilidad"":74.25,""openpay_comision"":7.29,""openpay_iva"":1.17,""comision_tienda_nube"":7.55,""total_comisiones"":16,""descuento_pago_transferencia_pct"":3.14,""iva_venta_desglosar"":35.21,""precio_venta_sin_iva"":220,""ganancia_real"":81,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0002,DURAZNO PRENSADO DE 500 GR,157,84,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0002,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0002"",""precio_compra_con_iva"":100,""iva_compra"":16,""porcentaje_a_ganar"":45,""utilidad"":45,""openpay_comision"":5.4,""openpay_iva"":0.86,""comision_tienda_nube"":5.63,""total_comisiones"":11.89,""descuento_pago_transferencia_pct"":3.79,""iva_venta_desglosar"":21.64,""precio_venta_sin_iva"":135,""ganancia_real"":51,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0003,DURAZNO PRENSADO DE 150 GRS,59,29,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0003,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0003"",""precio_compra_con_iva"":35,""iva_compra"":5.6,""porcentaje_a_ganar"":45,""utilidad"":15.75,""openpay_comision"":3.52,""openpay_iva"":0.56,""comision_tienda_nube"":3.7,""total_comisiones"":7.77,""descuento_pago_transferencia_pct"":6.64,""iva_venta_desglosar"":8.07,""precio_venta_sin_iva"":50,""ganancia_real"":21,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-PER-DUL-0004,PERA PRENSADA DE 500 GR,149,80,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0004,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0004"",""precio_compra_con_iva"":95,""iva_compra"":15.2,""porcentaje_a_ganar"":45,""utilidad"":42.75,""openpay_comision"":5.26,""openpay_iva"":0.84,""comision_tienda_nube"":5.48,""total_comisiones"":11.57,""descuento_pago_transferencia_pct"":3.88,""iva_venta_desglosar"":20.6,""precio_venta_sin_iva"":129,""ganancia_real"":49,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0005,DURAZNO PRENSADO DE 150 GR CAJITA PET,6,,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0005,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0005"",""iva_compra"":0,""porcentaje_a_ganar"":0,""openpay_comision"":2.5,""openpay_iva"":0.4,""comision_tienda_nube"":2.66,""total_comisiones"":5.56,""descuento_pago_transferencia_pct"":50,""iva_venta_desglosar"":0.77,""precio_venta_sin_iva"":5,""ganancia_real"":5,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-PER-DUL-0006,PERA PRENSADA DE 150 GR BOLSA,6,,DULCES TIPICOS Y ALIMENTOS,OL-PER-DUL-0006,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0006"",""iva_compra"":0,""porcentaje_a_ganar"":0,""openpay_comision"":2.5,""openpay_iva"":0.4,""comision_tienda_nube"":2.66,""total_comisiones"":5.56,""descuento_pago_transferencia_pct"":50,""iva_venta_desglosar"":0.77,""precio_venta_sin_iva"":5,""ganancia_real"":5,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-HIG-DUL-0007,HIGO PRENSADO 500 GR,157,84,DULCES TIPICOS Y ALIMENTOS,OL-HIG-DUL-0007,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0007"",""precio_compra_con_iva"":100,""iva_compra"":16,""porcentaje_a_ganar"":45,""utilidad"":45,""openpay_comision"":5.4,""openpay_iva"":0.86,""comision_tienda_nube"":5.63,""total_comisiones"":11.89,""descuento_pago_transferencia_pct"":3.79,""iva_venta_desglosar"":21.64,""precio_venta_sin_iva"":135,""ganancia_real"":51,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-BOC-DUL-0008,BOCADILLO DE CHOCOLATE CON HIGO Y DURAZNO DE 100G,81,42,DULCES TIPICOS Y ALIMENTOS,OL-BOC-DUL-0008,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0008"",""precio_compra_con_iva"":50,""iva_compra"":8,""porcentaje_a_ganar"":45,""utilidad"":22.5,""openpay_comision"":3.95,""openpay_iva"":0.63,""comision_tienda_nube"":4.14,""total_comisiones"":8.72,""descuento_pago_transferencia_pct"":5.37,""iva_venta_desglosar"":11.2,""precio_venta_sin_iva"":70,""ganancia_real"":28,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-BOC-DUL-0009,BOCADILLO DE CHOCOLATE CON HIGO Y DURAZNO DE 500G,323,176,DULCES TIPICOS Y ALIMENTOS,OL-BOC-DUL-0009,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0009"",""precio_compra_con_iva"":210,""iva_compra"":33.6,""porcentaje_a_ganar"":45,""utilidad"":94.5,""openpay_comision"":8.59,""openpay_iva"":1.37,""comision_tienda_nube"":8.89,""total_comisiones"":18.85,""descuento_pago_transferencia_pct"":2.92,""iva_venta_desglosar"":44.6,""precio_venta_sin_iva"":279,""ganancia_real"":102,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0010,Charola Redonda de 1200gr surtida de prensado,323,176,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":210,""iva_compra"":33.6,""porcentaje_a_ganar"":45,""utilidad"":94.5,""openpay_comision"":8.59,""openpay_iva"":1.37,""comision_tienda_nube"":8.89,""total_comisiones"":18.85,""descuento_pago_transferencia_pct"":2.92,""iva_venta_desglosar"":44.6,""precio_venta_sin_iva"":279,""ganancia_real"":102,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0011,Charola Redonda de 600gr surtida de prensado,157,84,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":100,""iva_compra"":16,""porcentaje_a_ganar"":45,""utilidad"":45,""openpay_comision"":5.4,""openpay_iva"":0.86,""comision_tienda_nube"":5.63,""total_comisiones"":11.89,""descuento_pago_transferencia_pct"":3.79,""iva_venta_desglosar"":21.64,""precio_venta_sin_iva"":135,""ganancia_real"":51,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0012,Charola 2 divisiones de 200 gr de prensado,74,38,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":45,""iva_compra"":7.2,""porcentaje_a_ganar"":45,""utilidad"":20.25,""openpay_comision"":3.81,""openpay_iva"":0.61,""comision_tienda_nube"":3.99,""total_comisiones"":8.41,""descuento_pago_transferencia_pct"":5.71,""iva_venta_desglosar"":10.16,""precio_venta_sin_iva"":63,""ganancia_real"":26,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
SINCODIGO-0013,Charola cuadrada de 500gr 4 divisiones surtido,157,84,,,,,,,"{""financiero_2023"":{""precio_compra_con_iva"":100,""iva_compra"":16,""porcentaje_a_ganar"":45,""utilidad"":45,""openpay_comision"":5.4,""openpay_iva"":0.86,""comision_tienda_nube"":5.63,""total_comisiones"":11.89,""descuento_pago_transferencia_pct"":3.79,""iva_venta_desglosar"":21.64,""precio_venta_sin_iva"":135,""ganancia_real"":51,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0010,DURAZNO PRENSADO CON CHAMOY DE 1KG,263,143,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0010,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0010"",""precio_compra_con_iva"":170,""iva_compra"":27.2,""porcentaje_a_ganar"":45,""utilidad"":76.5,""openpay_comision"":7.43,""openpay_iva"":1.19,""comision_tienda_nube"":7.7,""total_comisiones"":16.32,""descuento_pago_transferencia_pct"":3.1,""iva_venta_desglosar"":36.25,""precio_venta_sin_iva"":227,""ganancia_real"":84,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
OL-DUR-DUL-0011,DURAZNO PRENSADO C/ CHAMOY DE 500GR,164,88,DULCES TIPICOS Y ALIMENTOS,OL-DUR-DUL-0011,El Huerto,UCAREO,,,"{""proveedor_contacto"":""Yadira Mendoza Soto"",""proveedor_telefono"":""4434101030"",""financiero_2023"":{""numero_control"":""0011"",""precio_compra_con_iva"":105,""iva_compra"":16.8,""porcentaje_a_ganar"":45,""utilidad"":47.25,""openpay_comision"":5.55,""openpay_iva"":0.89,""comision_tienda_nube"":5.77,""total_comisiones"":12.21,""descuento_pago_transferencia_pct"":3.71,""iva_venta_desglosar"":22.68,""precio_venta_sin_iva"":142,""ganancia_real"":54,""_nota"":""Congelado del control de Excel 2023. No se recalcula ni se sincroniza.""}}"
